date,nifty_trend,india_vix,usdinr
2023-01-02,0.0227,14.51,82.58
2023-01-03,0.0279,14.82,82.64
2023-01-04,0.0302,15.26,82.63
2023-01-05,0.0312,15.44,82.78
2023-01-06,0.0353,15.1,82.68
2023-01-09,0.0337,15.37,82.72
2023-01-10,0.0319,15.08,82.8
2023-01-11,0.0346,15.53,82.82
2023-01-12,0.035,15.2,82.68
2023-01-13,0.0348,15.09,82.61
2023-01-16,0.0308,15.56,82.74
2023-01-17,0.0321,16.02,82.92
2023-01-18,0.0345,15.86,82.78
2023-01-19,0.0378,15.88,82.84
2023-01-20,0.0429,15.64,82.88
2023-01-23,0.0449,15.68,82.76
2023-01-24,0.0437,15.58,82.83
2023-01-25,0.0481,15.48,82.91
2023-01-26,0.0463,15.93,83.03
2023-01-27,0.0474,15.94,82.98
2023-01-30,0.046,16.41,82.96
2023-01-31,0.0467,16.9,83.03
2023-02-01,0.0477,16.87,82.94
2023-02-02,0.0467,17.15,83.0
2023-02-03,0.0501,16.93,83.03
2023-02-06,0.0553,16.92,83.11
2023-02-07,0.0516,17.4,83.16
2023-02-08,0.0492,17.14,83.19
2023-02-09,0.0503,16.82,83.37
2023-02-10,0.0553,16.84,83.26
2023-02-13,0.0595,16.89,83.35
2023-02-14,0.0601,16.74,83.48
2023-02-15,0.0659,16.56,83.51
2023-02-16,0.0651,16.99,83.53
2023-02-17,0.0698,17.37,83.47
2023-02-20,0.0735,17.34,83.63
2023-02-21,0.0741,17.68,83.57
2023-02-22,0.0724,17.81,83.75
2023-02-23,0.0728,17.54,83.78
2023-02-24,0.0716,17.64,83.81
2023-02-27,0.0716,17.53,83.72
2023-02-28,0.0743,17.64,83.65
2023-03-01,0.0778,17.28,83.75
2023-03-02,0.0806,17.61,83.73
2023-03-03,0.0829,17.95,83.9
2023-03-06,0.0833,17.58,83.92
2023-03-07,0.0848,17.96,84.06
2023-03-08,0.0846,18.03,84.06
2023-03-09,0.0875,18.0,84.13
2023-03-10,0.0842,18.02,84.3
2023-03-13,0.0829,18.24,84.36
2023-03-14,0.0873,18.61,84.49
2023-03-15,0.0865,18.49,84.58
2023-03-16,0.0899,18.88,84.44
2023-03-17,0.0857,19.05,84.59
2023-03-20,0.0917,19.32,84.58
2023-03-21,0.0878,19.49,84.72
2023-03-22,0.0877,19.71,84.87
2023-03-23,0.0832,20.03,84.82
2023-03-24,0.0823,19.76,84.85
2023-03-27,0.0835,20.07,84.76
2023-03-28,0.0794,20.45,84.81
2023-03-29,0.077,20.87,84.71
2023-03-30,0.0771,20.7,84.64
2023-03-31,0.0722,21.02,84.79
2023-04-03,0.0747,20.76,84.79
2023-04-04,0.0735,20.89,84.85
2023-04-05,0.0732,20.72,84.98
2023-04-06,0.0704,20.67,84.99
2023-04-07,0.068,20.78,85.03
2023-04-10,0.0739,20.65,85.2
2023-04-11,0.0761,20.5,85.24
2023-04-12,0.0786,20.77,85.11
2023-04-13,0.0803,20.82,85.26
2023-04-14,0.0784,21.14,85.31
2023-04-17,0.0773,21.31,85.36
2023-04-18,0.0798,21.56,85.43
2023-04-19,0.084,21.73,85.58
2023-04-20,0.0861,21.61,85.58
2023-04-21,0.0875,21.87,85.46
2023-04-24,0.0857,22.14,85.37
2023-04-25,0.0822,22.23,85.54
2023-04-26,0.083,22.65,85.66
2023-04-27,0.0808,22.99,85.67
2023-04-28,0.0847,23.26,85.63
2023-05-01,0.081,23.73,85.53
2023-05-02,0.0866,24.1,85.62
2023-05-03,0.0924,24.57,85.74
2023-05-04,0.0914,24.88,85.59
2023-05-05,0.0923,24.89,85.66
2023-05-08,0.0947,25.02,85.78
2023-05-09,0.1,24.72,85.71
2023-05-10,0.0953,25.12,85.75
2023-05-11,0.1004,24.92,85.62
2023-05-12,0.1045,25.34,85.57
2023-05-15,0.104,25.07,85.73
2023-05-16,0.1023,25.11,85.61
2023-05-17,0.1071,24.83,85.61
2023-05-18,0.1095,25.1,85.77
2023-05-19,0.1091,25.37,85.67
2023-05-22,0.1087,25.06,85.68
2023-05-23,0.1082,25.52,85.54
2023-05-24,0.1073,25.52,85.7
2023-05-25,0.1117,25.21,85.78
2023-05-26,0.1127,25.69,85.75
2023-05-29,0.1121,25.46,85.64
2023-05-30,0.1164,25.47,85.71
2023-05-31,0.1185,25.61,85.57
2023-06-01,0.1222,25.43,85.46
2023-06-02,0.1234,25.09,85.56
2023-06-05,0.1207,24.88,85.7
2023-06-06,0.1193,24.61,85.85
2023-06-07,0.1143,24.98,85.75
2023-06-08,0.1107,24.81,85.66
2023-06-09,0.113,24.43,85.51
2023-06-12,0.1167,24.24,85.47
2023-06-13,0.1136,23.89,85.56
2023-06-14,0.1144,24.16,85.57
2023-06-15,0.118,24.22,85.46
2023-06-16,0.1185,24.67,85.32
